Rank,1904,1914,1924,1934,1944,1954,1964,1974,1984,1994,2004,2014,2024
65,Bertha,Betty,Eva,Cynthia,Ruth,Ruth,Melanie,Gillian,Katy,Rachael,Rachel ,Megan ,Erin
66,Lillian,Minnie,Maria,Alice,Mavis,Irene,Marie,Cheryl,Marie,Rosie,Natasha ,Gracie ,Thea
67,Ann,Eleanor,Ruby,Gillian,Audrey,Dorothy,Pamela,Hannah,Naomi,Aimee,Imogen ,Zara ,Eleanor
68,Marion,Ruby,Nellie,Enid,Marlene,Sarah,Carole,Vanessa,Cheryl,Ellie,Scarlett ,Lacey ,Harriet
69,Bessie,Ida,Hazel,Annie,Betty,Frances,Barbara,Ann,Melanie,Sian,Madeleine ,Martha ,Emma
70,Eileen,Hannah,Emily,Yvonne,Julia,Josephine,Gail,Jayne,Sally,Kimberley,Lydia ,Anna ,Zara
71,Laura,Lillian,Josephine,Freda,Evelyn,Jill,Lynne,Diane,Julie,Lydia,Hollie ,Violet ,Ottilie
72,Mildred,Ann,Daphne,Ellen,Penelope,Joyce,Clare,Heather,Charlene,Hollie,Alexandra ,Darcey ,Chloe
73,Ruth,Louisa,Jane,Ivy,Lynda,Hazel,Janice,Sandra,Jade,Stacey,Summer ,Maria ,Ophelia
74,Isabella,Bessie,Ada,Jane,Christina,Annette,Rachel,Teresa,Sian,Bethan,Brooke ,Maryam ,Lyla
75,Charlotte,Jean,Pauline,Peggy,Jeanette,Beverley,Jill,Kate,Tracey,Amelia,Morgan ,Brooke ,Hazel
76,Esther,Clara,Ann,Sarah,Carolyn,Gail,Katherine,Linda,Eleanor,Beth,Maddison ,Aisha ,Bella
77,Ruby,Marie,Enid,Marlene,Iris,Rita,Kathleen,Mary,Deborah,Kathryn,Harriet ,Katie ,Fatima
78,Harriet,Doreen,Gertrude,Nancy,Anita,Geraldine,Shirley,Elaine,Maria,Heather,Louise ,Leah ,Robyn
79,Marie,Emma,Rita,Bridget,Denise,Diana,Annette,Georgina,Lindsey,Lisa,Francesca ,Thea ,Scarlett
80,Maria,Mildred,June,Diana,Kay,Carolyn,Carolyn,Emily,Abigail,Helen,Mollie ,Darcie ,Nova
81,Caroline,Isabella,Stella,Grace,Marian,Christina,Anna,Katie,Lindsay,Ella,Laura ,Hollie ,Nancy
82,Barbara,Sylvia,Norah,Teresa,Vera,Penelope,Sara,Alexandra,Susan,Robyn,Faith ,Amy ,Raya
83,Eliza,Esther,Mavis,Veronica,Teresa,Jeanette,Valerie,Nichola,Alice,Chantelle,Eloise ,Mollie ,Lyra
84,Rosina,Martha,Thelma,Agnes,Georgina,Suzanne,Cheryl,Carol,Georgina,Ellen,Melissa ,Heidi ,Clara
85,Amelia,Bertha,Mildred,Angela,Sally,Amanda,Jeanette,Sophie,Aimee,Daisy,Maya ,Lottie ,Eloise
86,Freda,Audrey,Bridget,Constance,Sarah,Dawn,Kay,Heidi,Jane,Demi,Chelsea ,Bethany ,Nora
87,Millicent,Laura,Monica,Jennifer,Bridget,Theresa,Anita,Kim,Kim,Courtney,Jennifer ,Francesca ,Lola
88,Janet,Margery,Daisy,Marian,Lilian,Anna,Maxine,Tanya,Carla,Gabrielle,Kayleigh ,Faith ,Ellie
89,Fanny,Rosina,Eleanor,Jill,Monica,Joy,Frances,Patricia,Christine,Yasmin,Jodie ,Harper ,Myla
90,Joan,Maria,Lillian,Wendy,Joy,Doreen,Joanna,Beverley,Dawn,Lily,Jade ,Nancy ,Darcie
91,Lydia,Janet,Alma,Ethel,Glenys,Fiona,Theresa,Leanne,Tanya,Rhiannon,Kiera ,Beatrice ,Maria
92,Iris,Bridget,Lucy,Joy,Julie,Cheryl,Debbie,Denise,Jenny,Maria,Kate ,Isabel ,Jasmine
93,Blanche,Beryl,Dora,Jacqueline,Vivienne,Kay,Lynda,Tara,Andrea,Kerry,Charlie ,Darcy ,Nellie
94,Miriam,Enid,Christine,Gloria,Daphne,Glynis,Maureen,Clair,Lyndsey,Imogen,Georgina ,Lydia ,Rosa
95,Jean,Josephine,Maureen,Lily,Caroline,Anita,Rosemary,Sonia,Jacqueline,Rebekah,Cerys ,Sarah ,Jessica
96,Rachel,Charlotte,Janet,Molly,Phyllis,Stephanie,Michele,Debbie,Lynsey,Jordan,Zara ,Sara ,Athena
97,Ella,Kate,Rosemary,Heather,Gwendoline,Nicola,Laura,Lesley,Chloe,Joanna,Elise ,Julia ,Sara
98,Margery,Amelia,Hannah,May,Geraldine,Veronica,Rebecca,Anita,Mary,Caitlin,Lara ,Victoria ,Lara
99,Christina,Patricia,Sybil,Monica,Doris,Andrea,Sheila,Lindsey,Leah,Jemma,Naomi ,Zoe ,Zoe
100,Nancy,Millicent,Amy,Judith,Muriel,Audrey,Stephanie,Debra,Toni,Toni,Lilly ,Robyn ,Amelie
